Time Elapsed (seconds),,,,,
n,t,Run 1,Run 2,Run 3,Average Runtime (seconds)
4000,2,0.0169,0.0164,0.0173,0.0169
4000,4,0.0161,0.0162,0.0168,0.0164
4000,8,0.0140,0.0146,0.0169,0.0152
4000,16,0.0150,0.0141,0.0100,0.0131
8000,2,0.0432,0.0371,0.0418,0.0407
8000,4,0.0400,0.0388,0.0443,0.0411
8000,8,0.0363,0.0384,0.0450,0.0399
8000,16,0.0352,0.0387,0.0354,0.0364
16000,2,0.1443,0.1363,0.1354,0.1387
16000,4,0.1763,0.1345,0.1687,0.1598
16000,8,0.1289,0.1776,0.1264,0.1443
16000,16,0.1336,0.1481,0.1338,0.1385
